,Unnamed: 0.1,Unnamed: 0,db_id,original_sql,rewritten_sql,activated_rules,latency_org,latency_new,original_logical_plan
10,,905,job,SELECT * FROM cast_info ci WHERE ci.person_id<1225416 AND ci.role_id=10;,SELECT * FROM cast_info ci WHERE ci.person_id<1225416 AND ci.role_id=10;,[],69.10994665,66.46592236,
11,,1544,job,SELECT * FROM cast_info ci WHERE ci.person_id<1303945;,SELECT * FROM (SELECT * FROM title WHERE kind_id = 1 AND production_year < 2011) AS t INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id < 16264) AS t0 ON t.id = t0.movie_id,"['FILTER_INTO_JOIN', 'FILTER_SCAN']",2.209674279,2.167725722,
12,,831,job,SELECT * FROM cast_info ci WHERE ci.person_id<1381981 AND ci.role_id>3;,SELECT * FROM title INNER JOIN (SELECT * FROM movie_companies WHERE company_id = 12666) AS t ON title.id = t.movie_id INNER JOIN movie_info ON title.id = movie_info.movie_id,"['FILTER_INTO_JOIN', 'FILTER_SCAN', 'JOIN_CONDITION_PUSH', 'JOIN_REDUCE_EXPRESSIONS', 'JOIN_REDUCE_EXPRESSIONS', 'JOIN_REDUCE_EXPRESSIONS', 'JOIN_REDUCE_EXPRESSIONS', 'PROJECT_REDUCE_EXPRESSIONS']",0.927438339,0.846405983,
13,,1036,job,SELECT * FROM cast_info ci WHERE ci.person_id<1405322;,SELECT * FROM title INNER JOIN (SELECT * FROM movie_companies WHERE company_id < 81256) AS t ON title.id = t.movie_id,['FILTER_INTO_JOIN'],4.404446681,4.129809697,
14,,1939,job,SELECT * FROM cast_info ci WHERE ci.person_id<1417394 AND ci.role_id=1;,SELECT * FROM cast_info ci WHERE ci.person_id<1417394 AND ci.role_id=1;,[],3.631852627,3.541197697,
15,,621,job,SELECT * FROM cast_info ci WHERE ci.person_id<1430838;,SELECT * FROM (SELECT * FROM title WHERE kind_id < 7) AS t INNER JOIN (SELECT * FROM movie_info WHERE info_type_id = 7) AS t0 ON t.id = t0.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id > 1064) AS t1 ON t.id = t1.movie_id,"['FILTER_INTO_JOIN', 'FILTER_MERGE']",10.78728636,9.35571901,
16,,1931,job,SELECT * FROM cast_info ci WHERE ci.person_id<1457695 AND ci.role_id=1;,SELECT * FROM (SELECT * FROM title WHERE kind_id < 7 AND production_year > 1961) AS t INNER JOIN movie_info ON t.id = movie_info.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id = 3792) AS t0 ON t.id = t0.movie_id,['FILTER_INTO_JOIN'],1.204023679,1.143867413,
17,,773,job,SELECT * FROM cast_info ci WHERE ci.person_id<1504641;,SELECT * FROM (SELECT * FROM title WHERE kind_id > 1) AS t INNER JOIN movie_info_idx ON t.id = movie_info_idx.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id > 2879) AS t0 ON t.id = t0.movie_id,['FILTER_INTO_JOIN'],4.200171868,3.648937782,
18,,1315,job,SELECT * FROM cast_info ci WHERE ci.person_id<1602074;,SELECT * FROM (SELECT * FROM title WHERE kind_id = 4) AS t INNER JOIN (SELECT * FROM movie_companies WHERE company_id < 71767 AND company_type_id = 2) AS t0 ON t.id = t0.movie_id,['FILTER_INTO_JOIN'],1.149514596,1.109729608,
19,,371,job,SELECT * FROM cast_info ci WHERE ci.person_id<1668242;,SELECT * FROM (SELECT * FROM title WHERE kind_id > 2 AND production_year > 1976) AS t INNER JOIN (SELECT * FROM cast_info WHERE role_id > 10) AS t0 ON t.id = t0.movie_id INNER JOIN (SELECT * FROM movie_info WHERE info_type_id = 13) AS t1 ON t.id = t1.movie_id,['FILTER_INTO_JOIN'],3.79799509,2.656045278,
20,,1666,job,SELECT * FROM cast_info ci WHERE ci.person_id<169375 AND ci.role_id<4;,SELECT * FROM title INNER JOIN (SELECT * FROM cast_info WHERE person_id = 2985968) AS t ON title.id = t.movie_id,"['FILTER_INTO_JOIN', 'FILTER_SCAN']",1.332605282,1.285472552,
21,,1556,job,SELECT * FROM cast_info ci WHERE ci.person_id<1712939 AND ci.role_id>2;,SELECT * FROM (SELECT * FROM title WHERE kind_id < 7 AND production_year > 2010) AS t INNER JOIN movie_companies ON t.id = movie_companies.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id = 53226) AS t0 ON t.id = t0.movie_id,"['FILTER_INTO_JOIN', 'FILTER_SCAN', 'JOIN_CONDITION_PUSH']",0.302461704,0.274326324,
22,,1234,job,SELECT * FROM cast_info ci WHERE ci.person_id<1725678 AND ci.role_id=2;,SELECT * FROM title INNER JOIN (SELECT * FROM cast_info WHERE person_id = 3175898) AS t ON title.id = t.movie_id INNER JOIN (SELECT * FROM movie_info_idx WHERE info_type_id = 101) AS t0 ON title.id = t0.movie_id,['FILTER_INTO_JOIN'],1.403673649,1.33626469,
23,,508,job,SELECT * FROM cast_info ci WHERE ci.person_id<1788221 AND ci.role_id<2;,SELECT * FROM (SELECT * FROM title WHERE kind_id < 7) AS t INNER JOIN (SELECT * FROM cast_info WHERE person_id > 203770 AND role_id > 2) AS t0 ON t.id = t0.movie_id INNER JOIN (SELECT * FROM movie_info_idx WHERE info_type_id > 101) AS t1 ON t.id = t1.movie_id,['FILTER_INTO_JOIN'],2.336607218,2.153992891,
24,,1777,job,SELECT * FROM cast_info ci WHERE ci.person_id<180824 AND ci.role_id<8;,SELECT * FROM (SELECT * FROM title WHERE kind_id < 3 AND production_year = 2000) AS t INNER JOIN movie_companies ON t.id = movie_companies.movie_id,"['FILTER_INTO_JOIN', 'FILTER_MERGE']",3.209898313,3.141155084,
25,,1845,job,SELECT * FROM cast_info ci WHERE ci.person_id<1840921 AND ci.role_id=3;,SELECT * FROM (SELECT * FROM title WHERE production_year > 2007) AS t INNER JOIN (SELECT * FROM movie_info WHERE info_type_id > 4) AS t0 ON t.id = t0.movie_id INNER JOIN (SELECT * FROM movie_info_idx WHERE info_type_id = 100) AS t1 ON t.id = t1.movie_id,"['FILTER_INTO_JOIN', 'FILTER_REDUCE_EXPRESSIONS']",4.163212935,4.065199852,
26,,2054,job,SELECT * FROM cast_info ci WHERE ci.person_id<185302 AND ci.role_id>4;,SELECT * FROM (SELECT * FROM title WHERE kind_id < 7) AS t INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id = 8315) AS t0 ON t.id = t0.movie_id,['FILTER_INTO_JOIN'],0.189617634,0.167010546,
27,,1858,job,SELECT * FROM cast_info ci WHERE ci.person_id<1893465 AND ci.role_id>1;,SELECT * FROM title INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id < 5295) AS t ON title.id = t.movie_id,['FILTER_INTO_JOIN'],2.318580786,2.241411686,
28,,885,job,SELECT * FROM cast_info ci WHERE ci.person_id<1933110;,SELECT * FROM (SELECT * FROM title WHERE kind_id > 1 AND production_year < 2012) AS t INNER JOIN (SELECT * FROM movie_info WHERE info_type_id = 16) AS t0 ON t.id = t0.movie_id INNER JOIN movie_keyword ON t.id = movie_keyword.movie_id,['FILTER_INTO_JOIN'],7.857423067,7.596029123,
29,,1930,job,SELECT * FROM cast_info ci WHERE ci.person_id<2016989 AND ci.role_id=2;,SELECT * FROM (SELECT * FROM title WHERE kind_id = 1 AND production_year < 2010) AS t INNER JOIN (SELECT * FROM movie_companies WHERE company_id < 80806 AND company_type_id > 1) AS t0 ON t.id = t0.movie_id INNER JOIN cast_info ON t.id = cast_info.movie_id,"['FILTER_INTO_JOIN', 'JOIN_CONDITION_PUSH']",14.66586367,14.33989358,
30,,214,job,SELECT * FROM cast_info ci WHERE ci.person_id<203833 AND ci.role_id=9;,SELECT * FROM (SELECT * FROM title WHERE kind_id > 1 AND production_year > 1992) AS t INNER JOIN movie_info_idx ON t.id = movie_info_idx.movie_id,['FILTER_INTO_JOIN'],2.026375294,1.998174985,
31,,484,job,SELECT * FROM cast_info ci WHERE ci.person_id<2099065 AND ci.role_id<8;,SELECT * FROM (SELECT * FROM title WHERE kind_id < 3 AND production_year < 1988) AS t INNER JOIN (SELECT * FROM movie_companies WHERE company_type_id = 1) AS t0 ON t.id = t0.movie_id INNER JOIN movie_keyword ON t.id = movie_keyword.movie_id,['FILTER_INTO_JOIN'],8.114254872,7.884168069,
32,,1186,job,SELECT * FROM cast_info ci WHERE ci.person_id<2110146 AND ci.role_id<9;,SELECT * FROM (SELECT * FROM title WHERE kind_id = 7 AND production_year > 1949) AS t INNER JOIN cast_info ON t.id = cast_info.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id > 26781) AS t0 ON t.id = t0.movie_id,['FILTER_INTO_JOIN'],10.51943262,10.02970592,
33,,957,job,SELECT * FROM cast_info ci WHERE ci.person_id<2116398;,SELECT * FROM (SELECT * FROM title WHERE kind_id = 1 AND production_year < 2012) AS t INNER JOIN cast_info ON t.id = cast_info.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id < 77) AS t0 ON t.id = t0.movie_id,['FILTER_INTO_JOIN'],7.92662406,7.470221202,
34,,1253,job,SELECT * FROM cast_info ci WHERE ci.person_id<2126101 AND ci.role_id=8;,SELECT * FROM cast_info ci WHERE ci.person_id<2126101 AND ci.role_id=8;,[],5.263164202,5.222120444,
35,,1276,job,SELECT * FROM cast_info ci WHERE ci.person_id<2188106 AND ci.role_id>2;,SELECT * FROM title INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id = 1595) AS t ON title.id = t.movie_id,"['FILTER_INTO_JOIN', 'FILTER_SCAN']",0.181566397,0.165355126,
36,,1799,job,SELECT * FROM cast_info ci WHERE ci.person_id<2339110;,SELECT * FROM title INNER JOIN (SELECT * FROM movie_companies WHERE company_id = 44137 AND company_type_id = 2) AS t ON title.id = t.movie_id,"['FILTER_INTO_JOIN', 'FILTER_SCAN', 'JOIN_CONDITION_PUSH']",0.131873687,0.107434273,
37,,353,job,SELECT * FROM cast_info ci WHERE ci.person_id<2372939 AND ci.role_id=1;,SELECT * FROM (SELECT * FROM title WHERE kind_id = 1 AND production_year = 1987) AS t INNER JOIN (SELECT * FROM cast_info WHERE person_id < 3637864 AND role_id = 8) AS t0 ON t.id = t0.movie_id,['FILTER_INTO_JOIN'],8.106240749,6.80167524,
38,,1320,job,SELECT * FROM cast_info ci WHERE ci.person_id<2399269 AND ci.role_id=8;,SELECT * FROM (SELECT * FROM title WHERE production_year < 1999) AS t INNER JOIN movie_info_idx ON t.id = movie_info_idx.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id = 918) AS t0 ON t.id = t0.movie_id,['FILTER_INTO_JOIN'],0.253700336,0.231223742,
39,,193,job,SELECT * FROM cast_info ci WHERE ci.person_id<2578472;,SELECT * FROM title INNER JOIN (SELECT * FROM cast_info WHERE person_id < 1102320 AND role_id = 2) AS t ON title.id = t.movie_id,"['FILTER_INTO_JOIN', 'PROJECT_REDUCE_EXPRESSIONS', 'JOIN_CONDITION_PUSH']",1.903021812,1.740631262,
40,,1796,job,SELECT * FROM cast_info ci WHERE ci.person_id<2591891 AND ci.role_id=1;,SELECT * FROM cast_info ci WHERE ci.person_id<2591891 AND ci.role_id=1;,[],2.771766822,2.667188168,
41,,1470,job,SELECT * FROM cast_info ci WHERE ci.person_id<2598401 AND ci.role_id<3;,SELECT * FROM cast_info ci WHERE ci.person_id<2598401 AND ci.role_id<3;,[],14.5805738,14.04992954,
42,,663,job,SELECT * FROM cast_info ci WHERE ci.person_id<2657741 AND ci.role_id=3;,SELECT * FROM title INNER JOIN movie_info_idx ON title.id = movie_info_idx.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id = 4629) AS t ON title.id = t.movie_id,['FILTER_INTO_JOIN'],0.290351311,0.24994572,
43,,131,job,SELECT * FROM cast_info ci WHERE ci.person_id<2748717;,SELECT * FROM cast_info ci WHERE ci.person_id<2748717;,[],32.3017208,32.13314718,
44,,1262,job,SELECT * FROM cast_info ci WHERE ci.person_id<2752575 AND ci.role_id=5;,SELECT * FROM cast_info ci WHERE ci.person_id<2752575 AND ci.role_id=5;,[],2.856937329,2.620639006,
45,,1843,job,SELECT * FROM cast_info ci WHERE ci.person_id<2775582 AND ci.role_id<3;,SELECT * FROM title INNER JOIN (SELECT * FROM movie_companies WHERE company_id = 11180) AS t ON title.id = t.movie_id,"['FILTER_INTO_JOIN', 'JOIN_CONDITION_PUSH']",0.130056461,0.104907354,
46,,765,job,SELECT * FROM cast_info ci WHERE ci.person_id<2823457;,SELECT * FROM cast_info ci WHERE ci.person_id<2823457;,[],0.611108303,0.514920553,
47,,1701,job,SELECT * FROM cast_info ci WHERE ci.person_id<2825009;,SELECT * FROM cast_info ci WHERE ci.person_id<2825009;,[],5.549233834,5.0707225,
48,,2205,job,SELECT * FROM cast_info ci WHERE ci.person_id<2826119 AND ci.role_id>2;,SELECT * FROM cast_info ci WHERE ci.person_id<2826119 AND ci.role_id>2;,[],15.25365376,14.76922901,
49,,551,job,SELECT * FROM cast_info ci WHERE ci.person_id<2835974;,SELECT * FROM (SELECT * FROM title WHERE kind_id = 4 AND production_year > 2000) AS t INNER JOIN (SELECT * FROM movie_info WHERE info_type_id < 8) AS t0 ON t.id = t0.movie_id INNER JOIN movie_keyword ON t.id = movie_keyword.movie_id,['FILTER_INTO_JOIN'],4.561785301,4.260641336,
50,,56,job,SELECT * FROM cast_info ci WHERE ci.person_id<286848;,SELECT * FROM (SELECT * FROM title WHERE kind_id > 1) AS t INNER JOIN (SELECT * FROM movie_companies WHERE company_id > 68 AND company_type_id = 1) AS t0 ON t.id = t0.movie_id INNER JOIN (SELECT * FROM cast_info WHERE person_id < 1673909) AS t1 ON t.id = t1.movie_id,"['FILTER_INTO_JOIN', 'FILTER_INTO_JOIN', 'FILTER_INTO_JOIN', 'JOIN_CONDITION_PUSH']",23.36182827,10.66120664,
51,,1457,job,SELECT * FROM cast_info ci WHERE ci.person_id<2886098;,SELECT * FROM cast_info ci WHERE ci.person_id<2886098;,[],5.724288225,5.452852249,
52,,1371,job,SELECT * FROM cast_info ci WHERE ci.person_id<2893981 AND ci.role_id=3;,SELECT * FROM cast_info ci WHERE ci.person_id<2893981 AND ci.role_id=3;,[],1.031601588,0.978828033,
53,,524,job,SELECT * FROM cast_info ci WHERE ci.person_id<2911839;,SELECT * FROM title INNER JOIN (SELECT * FROM movie_companies WHERE company_id < 10112) AS t ON title.id = t.movie_id,['FILTER_INTO_JOIN'],2.43353502,2.34820199,
54,,1926,job,SELECT * FROM cast_info ci WHERE ci.person_id<2913898 AND ci.role_id>1;,SELECT * FROM (SELECT * FROM title WHERE kind_id = 7 AND production_year < 2000) AS t INNER JOIN (SELECT * FROM movie_companies WHERE company_id < 6) AS t0 ON t.id = t0.movie_id,"['FILTER_SCAN', 'FILTER_INTO_JOIN', 'JOIN_CONDITION_PUSH']",0.14071099,0.116271337,
55,,428,job,SELECT * FROM cast_info ci WHERE ci.person_id<2968239 AND ci.role_id>10;,SELECT * FROM (SELECT * FROM title WHERE kind_id = 7) AS t INNER JOIN (SELECT * FROM movie_info WHERE info_type_id = 7) AS t0 ON t.id = t0.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id > 1809) AS t1 ON t.id = t1.movie_id,['FILTER_INTO_JOIN'],3.698398272,3.227622588,
56,,1778,job,SELECT * FROM cast_info ci WHERE ci.person_id<3060946;,SELECT * FROM (SELECT * FROM title WHERE production_year > 2012) AS t INNER JOIN (SELECT * FROM cast_info WHERE person_id = 2127820 AND role_id = 2) AS t0 ON t.id = t0.movie_id INNER JOIN (SELECT * FROM movie_info WHERE info_type_id > 3) AS t1 ON t.id = t1.movie_id,['FILTER_INTO_JOIN'],2.518789609,2.455279907,
57,,734,job,SELECT * FROM cast_info ci WHERE ci.person_id<309957;,SELECT * FROM (SELECT * FROM title WHERE kind_id = 7 AND production_year > 2005) AS t INNER JOIN (SELECT * FROM movie_companies WHERE company_id > 71188) AS t0 ON t.id = t0.movie_id,"['FILTER_SCAN', 'FILTER_INTO_JOIN', 'JOIN_CONDITION_PUSH']",0.985936801,0.88633434,
58,,182,job,SELECT * FROM cast_info ci WHERE ci.person_id<3125024 AND ci.role_id=1;,SELECT * FROM (SELECT * FROM title WHERE kind_id > 4 AND production_year < 2012) AS t INNER JOIN (SELECT * FROM movie_companies WHERE company_type_id > 1) AS t0 ON t.id = t0.movie_id INNER JOIN (SELECT * FROM cast_info WHERE role_id < 3) AS t1 ON t.id = t1.movie_id,['FILTER_INTO_JOIN'],13.15805562,10.67946704,
59,,1201,job,SELECT * FROM cast_info ci WHERE ci.person_id<3205176 AND ci.role_id>1;,SELECT * FROM title INNER JOIN (SELECT * FROM movie_companies WHERE company_id < 159) AS t ON title.id = t.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id > 335) AS t0 ON title.id = t0.movie_id,['FILTER_INTO_JOIN'],2.571064313,2.547718207,
60,,1135,job,SELECT * FROM cast_info ci WHERE ci.person_id<3209414 AND ci.role_id>1;,SELECT * FROM (SELECT * FROM title WHERE kind_id < 4 AND production_year = 2001) AS t INNER JOIN movie_info ON t.id = movie_info.movie_id INNER JOIN movie_keyword ON t.id = movie_keyword.movie_id,['FILTER_INTO_JOIN'],10.27254923,8.933570623,
61,,703,job,SELECT * FROM cast_info ci WHERE ci.person_id<3247723;,SELECT * FROM (SELECT * FROM title WHERE kind_id < 7 AND production_year = 2008) AS t INNER JOIN (SELECT * FROM movie_info_idx WHERE info_type_id > 101) AS t0 ON t.id = t0.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id > 795) AS t1 ON t.id = t1.movie_id,['FILTER_INTO_JOIN'],0.322095633,0.277882655,
62,,1475,job,SELECT * FROM cast_info ci WHERE ci.person_id<3292284 AND ci.role_id=3;,SELECT * FROM (SELECT * FROM title WHERE kind_id < 4 AND production_year = 2006) AS t INNER JOIN movie_info_idx ON t.id = movie_info_idx.movie_id,['FILTER_INTO_JOIN'],1.818589687,1.745258649,
63,,1678,job,SELECT * FROM cast_info ci WHERE ci.person_id<3353432 AND ci.role_id=1;,SELECT * FROM (SELECT * FROM title WHERE kind_id > 1 AND production_year = 1993) AS t INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id > 5958) AS t0 ON t.id = t0.movie_id,['FILTER_INTO_JOIN'],0.925541957,0.874303659,
64,,1062,job,SELECT * FROM cast_info ci WHERE ci.person_id<3482159 AND ci.role_id>1;,SELECT * FROM (SELECT * FROM title WHERE production_year = 2010) AS t INNER JOIN movie_info ON t.id = movie_info.movie_id INNER JOIN (SELECT * FROM movie_info_idx WHERE info_type_id < 101) AS t0 ON t.id = t0.movie_id,"['FILTER_INTO_JOIN', 'JOIN_CONDITION_PUSH']",3.942799091,3.907102823,
65,,1893,job,SELECT * FROM cast_info ci WHERE ci.person_id<3554433 AND ci.role_id>8;,SELECT * FROM (SELECT * FROM title WHERE kind_id = 1) AS t INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id = 2243) AS t0 ON t.id = t0.movie_id,['FILTER_INTO_JOIN'],0.18729043,0.160685301,
66,,348,job,SELECT * FROM cast_info ci WHERE ci.person_id<3560809;,SELECT * FROM (SELECT * FROM title WHERE kind_id < 7) AS t INNER JOIN (SELECT * FROM cast_info WHERE person_id > 192089 AND role_id > 2) AS t0 ON t.id = t0.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id > 16264) AS t1 ON t.id = t1.movie_id,"['FILTER_INTO_JOIN', 'FILTER_SCAN', 'FILTER_SCAN', 'FILTER_SCAN']",22.26459908,22.14676809,
67,,2176,job,SELECT * FROM cast_info ci WHERE ci.person_id<3635033 AND ci.role_id<4;,SELECT * FROM (SELECT * FROM title WHERE kind_id = 1 AND production_year < 2003) AS t INNER JOIN movie_info ON t.id = movie_info.movie_id INNER JOIN (SELECT * FROM movie_info_idx WHERE info_type_id < 100) AS t0 ON t.id = t0.movie_id,['FILTER_INTO_JOIN'],6.19867142,6.109466155,
68,,913,job,SELECT * FROM cast_info ci WHERE ci.person_id<368436 AND ci.role_id=1;,SELECT * FROM (SELECT * FROM title WHERE kind_id > 1 AND production_year < 2003) AS t INNER JOIN (SELECT * FROM cast_info WHERE person_id < 1075256 AND role_id > 2) AS t0 ON t.id = t0.movie_id INNER JOIN movie_info ON t.id = movie_info.movie_id,['FILTER_INTO_JOIN'],23.58861645,19.94154636,
69,,1837,job,SELECT * FROM cast_info ci WHERE ci.person_id<3692156 AND ci.role_id=3;,SELECT * FROM title INNER JOIN (SELECT * FROM movie_companies WHERE company_id < 166 AND company_type_id = 2) AS t ON title.id = t.movie_id INNER JOIN (SELECT * FROM movie_info WHERE info_type_id > 104) AS t0 ON title.id = t0.movie_id,"['FILTER_INTO_JOIN', 'FILTER_SCAN', 'FILTER_TABLE_FUNCTION_TRANSPOSE']",0.973567963,0.890282234,
70,,1201,job,SELECT * FROM cast_info ci WHERE ci.person_id<3706709 AND ci.role_id>10;,SELECT * FROM cast_info ci WHERE ci.person_id<3706709 AND ci.role_id>10;,[],3.031092723,2.963840723,
71,,1186,job,SELECT * FROM cast_info ci WHERE ci.person_id<3896215 AND ci.role_id=10;,SELECT * FROM cast_info ci WHERE ci.person_id<3896215 AND ci.role_id=10;,[],2.081739982,1.851114353,
72,,528,job,SELECT * FROM cast_info ci WHERE ci.person_id<3906292;,SELECT * FROM title INNER JOIN (SELECT * FROM movie_companies WHERE company_id = 20176 AND company_type_id = 1) AS t ON title.id = t.movie_id,"['FILTER_INTO_JOIN', 'JOIN_PROJECT_BOTH_TRANSPOSE', 'JOIN_CONDITION_PUSH']",0.144475381,0.106103341,
73,,1068,job,SELECT * FROM cast_info ci WHERE ci.person_id<3921479;,SELECT * FROM (SELECT * FROM title WHERE kind_id = 3) AS t INNER JOIN (SELECT * FROM movie_info WHERE info_type_id > 8) AS t0 ON t.id = t0.movie_id INNER JOIN movie_info_idx ON t.id = movie_info_idx.movie_id,"['FILTER_INTO_JOIN', 'JOIN_CONDITION_PUSH', 'SORT_JOIN_TRANSPOSE']",4.272128264,3.926008224,
74,,1565,job,SELECT * FROM cast_info ci WHERE ci.person_id<3933085;,SELECT * FROM title INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id > 11723) AS t ON title.id = t.movie_id,['FILTER_INTO_JOIN'],1.65253671,1.611588319,
75,,482,job,SELECT * FROM cast_info ci WHERE ci.person_id<4022918;,SELECT * FROM title INNER JOIN (SELECT * FROM movie_companies WHERE company_id > 11319 AND company_type_id = 1) AS t ON title.id = t.movie_id INNER JOIN movie_keyword ON title.id = movie_keyword.movie_id,['FILTER_INTO_JOIN'],7.661019564,7.638490359,
76,,1925,job,SELECT * FROM cast_info ci WHERE ci.person_id<4032196 AND ci.role_id>1;,SELECT * FROM (SELECT * FROM title WHERE kind_id > 1 AND production_year > 2004) AS t INNER JOIN (SELECT * FROM movie_info_idx WHERE info_type_id = 99) AS t0 ON t.id = t0.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id > 33463) AS t1 ON t.id = t1.movie_id,['FILTER_INTO_JOIN'],1.02842776,0.984454075,
77,,720,job,SELECT * FROM cast_info ci WHERE ci.person_id<49745 AND ci.role_id=4;,SELECT * FROM (SELECT * FROM title WHERE kind_id < 4 AND production_year = 1979) AS t INNER JOIN (SELECT * FROM movie_info WHERE info_type_id < 16) AS t0 ON t.id = t0.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id < 70) AS t1 ON t.id = t1.movie_id,['FILTER_INTO_JOIN'],1.264468193,1.161748807,
78,,1876,job,SELECT * FROM cast_info ci WHERE ci.person_id<572129;,SELECT * FROM (SELECT * FROM title WHERE kind_id = 1) AS t INNER JOIN (SELECT * FROM movie_companies WHERE company_id > 42954 AND company_type_id = 1) AS t0 ON t.id = t0.movie_id,['FILTER_INTO_JOIN'],0.222575347,0.192994595,
79,,59,job,SELECT * FROM cast_info ci WHERE ci.person_id<57549 AND ci.role_id=1;,SELECT * FROM (SELECT * FROM title WHERE production_year < 2006) AS t INNER JOIN (SELECT * FROM cast_info WHERE role_id = 6) AS t0 ON t.id = t0.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id = 13940) AS t1 ON t.id = t1.movie_id,['FILTER_INTO_JOIN'],2.107935488,1.835671743,
