,Unnamed: 0,db_id,original_sql,rewritten_sql,activated_rules,original_logical_plan
13,13,imdb,"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND ci.person_id>1144755 AND ci.role_id=3;",SELECT * FROM title AS title59 INNER JOIN (SELECT * FROM cast_info WHERE person_id > 1144755 AND role_id = 3) AS t155 ON title59.id = t155.movie_id INNER JOIN movie_info AS movie_info59 ON title59.id = movie_info59.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
14,14,imdb,"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.production_year<2010 AND mc.company_id>33938 AND ci.person_id<1550792;",SELECT * FROM (SELECT * FROM title WHERE production_year < 2010) AS t INNER JOIN (SELECT * FROM movie_companies WHERE company_id > 33938) AS t0 ON t.id = t0.movie_id INNER JOIN (SELECT * FROM cast_info WHERE person_id < 1550792) AS t1 ON t.id = t1.movie_id;,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
15,15,imdb,"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND mk.keyword_id<2697;",SELECT * FROM title AS title61 INNER JOIN movie_info AS movie_info61 ON title61.id = movie_info61.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id < 2697) AS t162 ON title61.id = t162.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
16,16,imdb,"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.kind_id<7 AND mi.info_type_id>16 AND mk.keyword_id<11728;",SELECT * FROM (SELECT * FROM title WHERE kind_id < 7) AS t271 INNER JOIN (SELECT * FROM movie_info WHERE info_type_id > 16) AS t272 ON t271.id = t272.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id < 11728) AS t273 ON t271.id = t273.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
17,17,imdb,"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND ci.person_id<2566764 AND ci.role_id=1 AND mk.keyword_id<2849;",SELECT * FROM title AS title61 INNER JOIN (SELECT * FROM cast_info WHERE person_id < 2566764 AND role_id = 1) AS t222 ON title61.id = t222.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id < 2849) AS t223 ON title61.id = t223.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
18,18,imdb,"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.production_year>2008 AND mi.info_type_id>16;",SELECT * FROM (SELECT * FROM title WHERE production_year > 2008) AS t222 INNER JOIN (SELECT * FROM movie_info WHERE info_type_id > 16) AS t223 ON t222.id = t223.movie_id INNER JOIN movie_keyword AS movie_keyword61 ON t222.id = movie_keyword61.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
19,19,imdb,"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.kind_id<7 AND t.production_year=2011 AND mi.info_type_id>18;",SELECT * FROM (SELECT * FROM title WHERE kind_id < 7 AND production_year = 2011) AS t INNER JOIN (SELECT * FROM movie_info WHERE info_type_id > 18) AS t0 ON t.id = t0.movie_id INNER JOIN movie_keyword ON t.id = movie_keyword.movie_id;,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
20,20,imdb,"SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND t.production_year>1998;",SELECT * FROM (SELECT * FROM title WHERE production_year > 1998) AS t155 INNER JOIN movie_companies AS movie_companies59 ON t155.id = movie_companies59.movie_id INNER JOIN movie_keyword AS movie_keyword59 ON t155.id = movie_keyword59.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
21,21,imdb,"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND mi.info_type_id<2 AND mk.keyword_id<96739;",SELECT * FROM title AS title59 INNER JOIN (SELECT * FROM movie_info WHERE info_type_id < 2) AS t213 ON title59.id = t213.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id < 96739) AS t214 ON title59.id = t214.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
22,22,imdb,"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.kind_id<7 AND ci.person_id>1366207;",SELECT * FROM (SELECT * FROM title WHERE kind_id < 7) AS t222 INNER JOIN movie_companies AS movie_companies61 ON t222.id = movie_companies61.movie_id INNER JOIN (SELECT * FROM cast_info WHERE person_id > 1366207) AS t223 ON t222.id = t223.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
23,23,imdb,"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.kind_id>1 AND mc.company_id>68 AND mc.company_type_id=1 AND ci.person_id<1673909;",SELECT * FROM (SELECT * FROM title WHERE kind_id > 1) AS t282 INNER JOIN (SELECT * FROM movie_companies WHERE company_id > 68 AND company_type_id = 1) AS t283 ON t282.id = t283.movie_id INNER JOIN (SELECT * FROM cast_info WHERE person_id < 1673909) AS t284 ON t282.id = t284.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
24,24,imdb,"SELECT * FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.production_year=2004 AND mi.info_type_id>98;",SELECT * FROM (SELECT * FROM title WHERE production_year = 2004) AS t213 INNER JOIN (SELECT * FROM movie_info WHERE info_type_id > 98) AS t214 ON t213.id = t214.movie_id INNER JOIN movie_info_idx AS movie_info_idx59 ON t213.id = movie_info_idx59.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
25,25,imdb,"SELECT * FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND mi.info_type_id=108;",SELECT * FROM title AS title61 INNER JOIN cast_info AS cast_info61 ON title61.id = cast_info61.movie_id INNER JOIN (SELECT * FROM movie_info WHERE info_type_id = 108) AS t162 ON title61.id = t162.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
26,26,imdb,"SELECT * FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.kind_id=7 AND mc.company_id>506;",SELECT * FROM (SELECT * FROM title WHERE kind_id = 7) AS t INNER JOIN (SELECT * FROM movie_companies WHERE company_id > 506) AS t0 ON t.id = t0.movie_id;,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan']]]"
27,27,imdb,"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND ci.person_id<1878585 AND ci.role_id=8;",SELECT * FROM title AS title61 INNER JOIN (SELECT * FROM cast_info WHERE person_id < 1878585 AND role_id = 8) AS t162 ON title61.id = t162.movie_id INNER JOIN movie_keyword AS movie_keyword61 ON title61.id = movie_keyword61.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
28,28,imdb,"SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND t.kind_id<4 AND t.production_year<1910 AND mi.info_type_id>73;",SELECT * FROM (SELECT * FROM title WHERE kind_id < 4 AND production_year < 1910) AS t217 INNER JOIN movie_companies AS movie_companies60 ON t217.id = movie_companies60.movie_id INNER JOIN (SELECT * FROM movie_info WHERE info_type_id > 73) AS t218 ON t217.id = t218.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
29,29,imdb,"SELECT * FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND t.kind_id<7 AND t.production_year>2011 AND mc.company_id>111186 AND mc.company_type_id=2;",SELECT * FROM (SELECT * FROM title WHERE kind_id < 7 AND production_year > 2011) AS t222 INNER JOIN (SELECT * FROM movie_companies WHERE company_id > 111186 AND company_type_id = 2) AS t223 ON t222.id = t223.movie_id INNER JOIN movie_keyword AS movie_keyword61 ON t222.id = movie_keyword61.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
30,30,imdb,"SELECT * FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND t.kind_id<7 AND mk.keyword_id=6087;",SELECT * FROM (SELECT * FROM title WHERE kind_id < 7) AS t222 INNER JOIN cast_info AS cast_info61 ON t222.id = cast_info61.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id = 6087) AS t223 ON t222.id = t223.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
31,31,imdb,"SELECT * FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=1 AND t.production_year>2000 AND mi.info_type_id=2;",SELECT * FROM (SELECT * FROM title WHERE kind_id = 1 AND production_year > 2000) AS t222 INNER JOIN (SELECT * FROM movie_info WHERE info_type_id = 2) AS t223 ON t222.id = t223.movie_id INNER JOIN movie_info_idx AS movie_info_idx61 ON t222.id = movie_info_idx61.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
32,32,imdb,"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.kind_id=7 AND t.production_year<2006 AND mc.company_id>1117 AND mc.company_type_id<2 AND ci.person_id<2835100;",SELECT * FROM (SELECT * FROM title WHERE kind_id = 7 AND production_year < 2006) AS t277 INNER JOIN (SELECT * FROM movie_companies WHERE company_id > 1117 AND company_type_id < 2) AS t278 ON t277.id = t278.movie_id INNER JOIN (SELECT * FROM cast_info WHERE person_id < 2835100) AS t279 ON t277.id = t279.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
33,33,imdb,"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.kind_id=1 AND t.production_year>2010 AND mi.info_type_id<3;",SELECT * FROM (SELECT * FROM title WHERE kind_id = 1 AND production_year > 2010) AS t217 INNER JOIN (SELECT * FROM movie_info WHERE info_type_id < 3) AS t218 ON t217.id = t218.movie_id INNER JOIN movie_keyword AS movie_keyword60 ON t217.id = movie_keyword60.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
34,34,imdb,"SELECT * FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=3 AND t.production_year>0 AND mi.info_type_id>8;",SELECT * FROM (SELECT * FROM title WHERE kind_id = 3 AND production_year > 0) AS t213 INNER JOIN (SELECT * FROM movie_info WHERE info_type_id > 8) AS t214 ON t213.id = t214.movie_id INNER JOIN movie_info_idx AS movie_info_idx59 ON t213.id = movie_info_idx59.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
35,35,imdb,"SELECT * FROM title t,movie_info_idx mi_idx WHERE t.id=mi_idx.movie_id AND t.production_year>1926;",SELECT * FROM (SELECT * FROM title WHERE production_year > 1926) AS t INNER JOIN movie_info_idx ON t.id = movie_info_idx.movie_id;,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan']]]"
36,36,imdb,"SELECT * FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND t.kind_id>1 AND t.production_year>2008 AND ci.person_id<1232956 AND ci.role_id>1;",SELECT * FROM (SELECT * FROM title WHERE kind_id > 1 AND production_year > 2008) AS t213 INNER JOIN (SELECT * FROM cast_info WHERE person_id < 1232956 AND role_id > 1) AS t214 ON t213.id = t214.movie_id INNER JOIN movie_info_idx AS movie_info_idx59 ON t213.id = movie_info_idx59.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
37,37,imdb,"SELECT * FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=7 AND t.production_year=1984;",SELECT * FROM (SELECT * FROM title WHERE kind_id = 7 AND production_year = 1984) AS t158 INNER JOIN movie_info AS movie_info60 ON t158.id = movie_info60.movie_id INNER JOIN movie_info_idx AS movie_info_idx60 ON t158.id = movie_info_idx60.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
38,38,imdb,"SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND t.kind_id<7 AND t.production_year<1999 AND mc.company_id>14695 AND mc.company_type_id<2;","SELECT * FROM (SELECT * FROM (SELECT * FROM title WHERE kind_id < 7 AND production_year < 1999) AS t, (SELECT * FROM movie_companies WHERE company_id > 14695 AND company_type_id < 2) AS t0 WHERE t.id = t0.movie_id) AS t1, movie_info WHERE t1.id = movie_info.movie_id;",['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
39,39,imdb,"SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND t.kind_id=2 AND t.production_year>1989;",SELECT * FROM (SELECT * FROM title WHERE kind_id = 2 AND production_year > 1989) AS t155 INNER JOIN movie_companies AS movie_companies59 ON t155.id = movie_companies59.movie_id INNER JOIN movie_info AS movie_info59 ON t155.id = movie_info59.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
40,40,imdb,"SELECT * FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND mk.keyword_id<2849;",SELECT * FROM title AS title61 INNER JOIN movie_info AS movie_info61 ON title61.id = movie_info61.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id < 2849) AS t162 ON title61.id = t162.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
41,41,imdb,"SELECT * FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=7 AND t.production_year>1986 AND ci.person_id=3359169 AND ci.role_id>1;",SELECT * FROM (SELECT * FROM title WHERE kind_id = 7 AND production_year > 1986) AS t222 INNER JOIN (SELECT * FROM cast_info WHERE person_id = 3359169 AND role_id > 1) AS t223 ON t222.id = t223.movie_id INNER JOIN movie_info_idx AS movie_info_idx61 ON t222.id = movie_info_idx61.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
42,42,imdb,"SELECT * FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND t.production_year>0 AND mc.company_id<661 AND mc.company_type_id=1;",SELECT * FROM (SELECT * FROM title WHERE production_year > 0) AS t222 INNER JOIN (SELECT * FROM movie_companies WHERE company_id < 661 AND company_type_id = 1) AS t223 ON t222.id = t223.movie_id INNER JOIN movie_info AS movie_info61 ON t222.id = movie_info61.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
43,43,imdb,"SELECT * FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.kind_id=7 AND t.production_year<2011 AND mc.company_id>53326 AND ci.person_id>1111727;",SELECT * FROM (SELECT * FROM title WHERE kind_id = 7 AND production_year < 2011) AS t271 INNER JOIN (SELECT * FROM movie_companies WHERE company_id > 53326) AS t272 ON t271.id = t272.movie_id INNER JOIN (SELECT * FROM cast_info WHERE person_id > 1111727) AS t273 ON t271.id = t273.movie_id,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan'], ['LogicalTableScan']]]]"
44,44,imdb,"SELECT * FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.production_year>1973 AND mk.keyword_id<2499;",SELECT * FROM (SELECT * FROM title WHERE production_year > 1973) AS t INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id < 2499) AS t0 ON t.id = t0.movie_id;,['Empty List'],"['LogicalProject', ['LogicalFilter', ['LogicalJoin', 'LogicalTableScan', 'LogicalTableScan']]]"
